Country,SUM de Subscribers (M),SUM de Uploads,COUNTA de Username
NO,"46,20","676,00",1
CO,"47,30","362,00",1
PR,"48,50","157,00",1
TR,"49,90","2,92",1
PH,"50,80","234,89",1
CL,"51,90","2,26",1
ES,"53,40","2,07",1
GB,"55,60","538,00",1
IT,"55,90","1,14",1
PT,"71,70","80,00",1
CA,"74,40","249,00",1
SV,"94,10","548,83",2
ID,"100,30","7,70",2
RU,"106,10","5,48",2
PK,"122,80","307,69",2
AR,"123,00","2,83",2
JP,"156,30","8,00",2
AE,"164,00","22,27",3
MX,"210,20","342,11",4
BR,"256,70","929,07",5
KR,"324,30","611,51",4
N.A.,"473,60","0,00",4
IN,"2.175,60","3.955,99",28
US,"2.241,80","8.460,17",27
Total geral,"7.154,40","17.506,93",98
